Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
39,Tyler Soderstrom*,23,ATH,AL,4.3,158,624,561,75,155,34,1,25,93,8,3,55,141,.276,.346,.474,.820,126,.352,125,266,18,6,0,2,2,73H/D,,soderty01
40,Jazz Chisholm Jr.*,27,NYY,AL,4.2,130,531,462,75,112,15,1,31,80,31,8,58,148,.242,.332,.481,.813,125,.357,127,222,3,6,1,4,1,45/H,ASSS,chishja01
41,Rafael Devers*,28,2TM,2LG,4.1,163,729,607,99,153,33,0,35,109,1,1,112,192,.252,.372,.479,.851,140,.366,139,291,16,6,0,4,10,*D3/5H,,deverra01
42,Matt Chapman,32,SFG,NL,4.1,128,535,454,76,105,23,2,21,61,9,4,71,126,.231,.340,.430,.770,120,.341,122,195,8,6,0,4,1,*5,,chapmma01
43,Manny Machado,32,SDP,NL,4.1,159,678,615,91,169,33,0,27,95,14,3,55,131,.275,.335,.460,.795,118,.346,115,283,16,3,0,5,4,*5D,ASMVP-16SS,machama01
44,Randy Arozarena,30,SEA,AL,4.0,160,709,613,95,146,32,1,27,76,31,6,64,191,.238,.334,.426,.760,119,.341,124,261,9,27,0,5,2,*7/D,AS,arozara01
45,Ian Happ#,30,CHC,NL,4.0,150,663,569,87,138,32,0,23,79,6,3,87,151,.243,.342,.420,.762,120,.338,122,239,8,2,0,5,2,*7/DH,GG,happia01
46,Harrison Bader,31,2TM,2LG,3.9,146,501,448,61,124,24,1,17,54,11,7,39,136,.277,.347,.449,.796,117,.344,117,201,5,11,0,3,0,*87H/9,,baderha01
47,William Contreras,27,MIL,NL,3.9,150,659,566,89,147,28,0,17,76,6,4,84,120,.260,.355,.399,.754,111,.342,117,226,14,3,0,6,4,*2D/37,,contrwi02
48,Shea Langeliers,27,ATH,AL,3.9,123,523,481,73,133,32,0,31,72,7,1,36,103,.277,.325,.536,.861,134,.363,131,258,10,1,0,5,1,2D/H,,langesh01
49,Trevor Story,32,BOS,AL,3.8,157,654,612,91,161,29,0,25,96,31,1,33,176,.263,.308,.433,.741,104,.333,105,265,3,7,1,1,1,*6/HD,,storytr01
50,J.P. Crawford*,30,SEA,AL,3.8,157,654,570,69,151,24,0,12,58,8,1,74,122,.265,.352,.370,.722,111,.322,113,211,11,3,6,1,1,*6/H,,crawfjp01
51,Andy Pages,24,LAD,NL,3.8,156,624,581,74,158,27,1,27,86,14,7,29,135,.272,.313,.461,.774,114,.338,115,268,9,8,0,6,0,*897,,pagesan01
52,Ramón Laureano,30,2TM,2LG,3.8,132,488,441,72,124,26,2,24,76,7,4,35,119,.281,.342,.512,.855,136,.363,134,226,10,8,0,4,1,*798/DH,,laurera01
53,Willy Adames,29,SFG,NL,3.7,160,686,591,94,133,22,2,30,87,12,4,80,179,.225,.318,.421,.740,111,.326,110,249,9,5,0,9,2,*6/D,,adamewi01
54,Steven Kwan*,27,CLE,AL,3.7,156,693,625,81,170,29,1,11,56,21,5,55,60,.272,.330,.374,.705,96,.312,94,234,3,3,3,7,2,*7/D8,ASGG,kwanst01
55,Hunter Goodman,25,COL,NL,3.7,144,579,540,73,150,28,5,31,91,1,2,33,152,.278,.323,.520,.843,120,.367,124,281,16,4,0,2,0,2D/H,ASSS,goodmhu01
56,James Wood*,22,WSN,NL,3.7,157,689,598,87,153,38,0,31,94,15,7,85,221,.256,.350,.475,.825,132,.357,132,284,12,3,0,3,8,*7D/H,AS,woodja03
57,Eugenio Suárez,33,2TM,2LG,3.6,159,657,588,91,134,28,0,49,118,4,1,46,196,.228,.298,.526,.824,126,.354,127,309,11,16,0,7,2,*5/D3H,AS,suareeu01
58,Kyle Stowers*,27,MIA,NL,3.6,117,457,399,61,115,21,3,25,73,5,1,48,125,.288,.368,.544,.912,149,.391,148,217,6,5,1,4,3,79H8/D,AS,stoweky01
59,Elly De La Cruz#,23,CIN,NL,3.6,162,699,629,102,166,31,7,22,86,37,8,67,181,.264,.336,.440,.777,109,.342,104,277,14,2,0,1,10,*6/DH,ASMVP-23,delacel01
60,Carson Kelly,30,CHC,NL,3.6,111,421,369,48,92,13,1,17,50,2,0,45,80,.249,.333,.428,.761,119,.337,121,158,11,3,0,4,0,2/HD,,kellyca02
61,Max Muncy*,34,LAD,NL,3.6,100,388,313,48,76,10,2,19,67,4,0,64,83,.243,.376,.470,.846,136,.370,136,147,4,6,0,5,2,5H,,muncyma01
62,Trent Grisham*,28,NYY,AL,3.5,143,581,494,87,116,9,1,34,74,3,2,82,137,.235,.348,.464,.811,125,.363,135,229,7,4,0,1,0,*8/H,,grishtr01
